整租·京基东方都会,1室0厅,西南, 31㎡ ,罗湖区-新秀-京基东方都会,3000 元/月
合租·滨苑小区,3居室,南卧, 12㎡ ,罗湖区-万象城-滨苑小区,2090 元/月
整租·东乐花园,1室0厅,东南/南, 20㎡ ,罗湖区-百仕达-东乐花园,2300 元/月
合租·嘉宾花园,4居室,南卧, 9㎡ ,罗湖区-万象城-嘉宾花园,2590 元/月
整租·银山楼,1室1厅,东, 30㎡ ,罗湖区-笋岗-银山楼,2800 元/月
合租·集浩花园,5居室,南卧, 14㎡ ,罗湖区-黄贝岭-集浩花园,2390 元/月
合租·新湖村公共汽车公司住宅,1居室,南卧, 12㎡ ,罗湖区-新秀-新湖村公共汽车公司住宅,1800 元/月
整租·雅仕居,1室0厅,南, 28㎡ ,罗湖区-清水河-雅仕居,3000 元/月
整租·城市东座,1室0厅,北, 28㎡ ,罗湖区-莲塘-城市东座,2700 元/月
整租·华隆园,1室0厅,东, 32㎡ ,罗湖区-螺岭-华隆园,3000 元/月
整租·特力大厦,1室1厅,南, 33㎡ ,罗湖区-翠竹-特力大厦,2800 元/月
合租·深业东岭,5居室,西卧, 13㎡ ,罗湖区-黄贝岭-深业东岭,2590 元/月
整租·旭飞华天苑,1室0厅,南, 15㎡ ,罗湖区-清水河-旭飞华天苑,1800 元/月
合租·景贝南小区,4居室,西卧, 14㎡ ,罗湖区-黄贝岭-景贝南小区,1860 元/月
整租·布心公寓,1室1厅,北, 35㎡ ,罗湖区-布心-布心公寓,3000 元/月
合租·128大院,1居室,南卧, 144㎡ ,罗湖区-东门-128大院,2200 元/月
整租·鹏基公寓,1室0厅,北, 30㎡ ,罗湖区-莲塘-鹏基公寓,1800 元/月
整租·名都大厦,1室0厅,东, 20㎡ ,罗湖区-螺岭-名都大厦,2200 元/月
整租·洪湖大厦,1室0厅,西北, 32㎡ ,罗湖区-东门-洪湖大厦,2800 元/月
整租·国际名园,1室0厅,东南, 24㎡ ,罗湖区-春风路-国际名园,2700 元/月
整租·贝丽花园,1室0厅,西南, 96㎡ ,罗湖区-翠竹-贝丽花园,2500 元/月
合租·长丰苑,3居室,北卧, 7㎡ ,罗湖区-春风路-长丰苑,1860 元/月
整租·贝丽花园,1室0厅,东/东南, 29㎡ ,罗湖区-翠竹-贝丽花园,2400 元/月
合租·松园南十巷,4居室,南卧, 10㎡ ,罗湖区-地王-松园南十巷,2130 元/月
整租·旭飞华达园,1室0厅,南, 20㎡ ,罗湖区-百仕达-旭飞华达园,2500 元/月
合租·锦上花家园,4居室,西卧, 8㎡ ,罗湖区-黄贝岭-锦上花家园,1890 元/月
整租·雅仕居,1室0厅,南, 25㎡ ,罗湖区-清水河-雅仕居,2100 元/月
合租·桃花园,4居室,北卧, 11㎡ ,罗湖区-笋岗-桃花园,2190 元/月
合租·百仕达花园二期,4居室,南卧, 12㎡ ,罗湖区-百仕达-百仕达花园二期,2730 元/月
合租·文华花园,4居室,南卧, 11㎡ ,罗湖区-黄贝岭-文华花园,1730 元/月
整租·旭飞华天苑,1室0厅,东南, 15㎡ ,罗湖区-清水河-旭飞华天苑,1600 元/月
整租·愉天小区,1室1厅,北, 32㎡ ,罗湖区-翠竹-愉天小区,2890 元/月
整租·128大院,1室0厅,南, 25㎡ ,罗湖区-东门-128大院,2100 元/月
合租·景贝北小区,4居室,东北卧, 12㎡ ,罗湖区-黄贝岭-景贝北小区,1790 元/月
整租·立新花园,1室1厅,东, 21㎡ ,罗湖区-东门-立新花园,2750 元/月
整租·旭飞华天苑,1室1厅,南, 30㎡ ,罗湖区-清水河-旭飞华天苑,2800 元/月
整租·雅仕居,1室1厅,南, 28㎡ ,罗湖区-清水河-雅仕居,2900 元/月
整租·粤鹏大厦,1室1厅,西南, 12㎡ ,罗湖区-春风路-粤鹏大厦,1800 元/月
整租·银晖名居,1室0厅,北, 24㎡ ,罗湖区-银湖-银晖名居,2500 元/月
整租·怡泰大厦,1室1厅,南, 34㎡ ,罗湖区-黄贝岭-怡泰大厦,2800 元/月
整租·公路局大院,1室1厅,南, 25㎡ ,罗湖区-翠竹-公路局大院,2180 元/月
合租·翠竹苑,3居室,南卧, 9㎡ ,罗湖区-百仕达-翠竹苑,1610 元/月
整租·怡泰大厦,1室1厅,东南, 29㎡ ,罗湖区-黄贝岭-怡泰大厦,2600 元/月
合租·罗湖金岸大厦,4居室,东卧, 7㎡ ,罗湖区-罗湖口岸-罗湖金岸大厦,1890 元/月
整租·惠名花园,2室1厅,南/北, 62㎡ ,罗湖区-莲塘-惠名花园,2800 元/月
整租·洪湖一街五号大院罗湖区,1室0厅,南, 15㎡ ,罗湖区-洪湖-洪湖一街五号大院罗湖区,1600 元/月
整租·鹏基公寓,1室1厅,南, 31㎡ ,罗湖区-莲塘-鹏基公寓,2300 元/月
整租·仙桐馨苑,1室1厅,南, 32㎡ ,罗湖区-莲塘-仙桐馨苑,2200 元/月
整租·碧湖花园,1室1厅,复式, 19㎡ ,罗湖区-洪湖-碧湖花园,2900 元/月
整租·南塘物业小区,1室0厅,南, 22㎡ ,罗湖区-东门-南塘物业小区,2600 元/月
整租·东门168,1室1厅,南, 41㎡ ,罗湖区-螺岭-东门168,2800 元/月
整租·田贝花园,1室0厅,西北, 20㎡ ,罗湖区-洪湖-田贝花园,2200 元/月
整租·旭飞华达园,1室0厅,北, 23㎡ ,罗湖区-百仕达-旭飞华达园,2500 元/月
整租·田贝花园,1室0厅,西南, 20㎡ ,罗湖区-洪湖-田贝花园,2200 元/月
整租·怡泰大厦,1室1厅,东南, 35㎡ ,罗湖区-黄贝岭-怡泰大厦,2800 元/月
合租·桃花园,3居室,北卧, 7㎡ ,罗湖区-笋岗-桃花园,1990 元/月
整租·布心公寓,1室1厅,南, 32㎡ ,罗湖区-布心-布心公寓,2800 元/月
整租·田贝花园,1室0厅,西, 23㎡ ,罗湖区-洪湖-田贝花园,2400 元/月
合租·宝龙苑,4居室,北卧, 11㎡ ,罗湖区-百仕达-宝龙苑,1830 元/月
合租·新秀村北区,4居室,南卧, 11㎡ ,罗湖区-新秀-新秀村北区,1630 元/月
整租·旭飞华天苑,1室1厅,南, 28㎡ ,罗湖区-清水河-旭飞华天苑,2900 元/月
合租·长丰苑,3居室,北卧, 8㎡ ,罗湖区-春风路-长丰苑,1930 元/月
整租·京基东方都会,1室1厅,东, 35㎡ ,罗湖区-新秀-京基东方都会,3800 元/月
合租·金祥都市花园,3居室,北卧, 8㎡ ,罗湖区-清水河-金祥都市花园,2260 元/月
整租·新天地名居,1室1厅,东南/南, 38㎡ ,罗湖区-黄贝岭-新天地名居,4500 元/月
合租·都市名园,4居室,东卧, 11㎡ ,罗湖区-万象城-都市名园,2290 元/月
整租·金迪名苑,1室0厅,南, 26㎡ ,罗湖区-布心-金迪名苑,2900 元/月
